1000147	1866479	1308817	1294639	5344178	1292401	1291832	1291999	3649049	1295124	3319755	1292064	1291560	3395373	3072086	3626416	3792799	4023638	1292343	1293839	3233635	3205624	1482072	3068206	1291549	1292000	1292220	2213597	3313801	4873490	3005875	1292223	4305436	1485260	10574622	1292370	3075287	1978709	1292722	1291546	4920528	3793023	2129039	2209573	1292215	1929463	1292720	1652587	1295644	1292052	3541415
1000148	1292402	3731581	2334904	4268598	2146991	2268359	1291875	1291828	1866479	1293544	1294639	5344178	1292401	3649049	1295124	1292063	3319755	1292064	1291560	1308575	3395373	3626416	3792799	4023638	1292343	1307914	1293839	3233635	2149806	1482072	3068206	1291549	1292220	4873490	3005875	1292223	4305436	10574622	1849031	1292370	3075287	1978709	1292722	1291546	3793023	1292215	1292720	1295644	1292052	3541415
1000152	3230459	3596502	3530403	3610047	1308807	1316510	3011235	1291545	1760622	1851857	3737102	4271894	4237879	4739952	1292528	2135981	2161696	1418834	1292328	1780330	6386345	1292402	3731581	3006772	4268598	2268359	1866479	1308817	3158990	1294639	5344178	1291999	3649049	1295124	1292064	3395373	3792799	1292343	2149806	1292000	1292220	3734112	3313801	4873490	1292223	1485260	10574622	1978709	1292001	1292720
1000159	1291828	1866479	1308817	1293544	3158990	5344178	1292401	1291832	1291999	3649049	1292063	3319755	1292064	1291560	1308575	3395373	3072086	1862151	3626416	3792799	4023638	1292343	1293839	3233635	2149806	3205624	1482072	3068206	1291549	1292000	1292220	3734112	2213597	3313801	4873490	1783457	3005875	1292223	4305436	1485260	10574622	1849031	1292370	1978709	1291561	1291546	2209573	1292001	1292215	1295644
1000176	3006772	4268598	2268359	1291875	1291828	1308817	3158990	1294639	5344178	1292401	1291999	3649049	1295124	3319755	1308575	3395373	3072086	3626416	3792799	4023638	1307914	1293839	3233635	2149806	3205624	1482072	1291549	1292000	3734112	2213597	3313801	4873490	3005875	1292223	4305436	1485260	1849031	1292370	1978709	1291546	4920528	3793023	2129039	2209573	1292001	1292215	1929463	1292720	1292052	3742360
1000186	1308807	1292224	2156528	1298070	3077791	1299398	1760622	1301753	3737102	2132495	4237879	2135981	2161696	1418834	3274505	1292328	5308265	1298624	1780330	2334904	3006772	4268598	1292213	1291875	1291828	1293544	1291832	1291999	1295124	1292064	1862151	3792799	4023638	2149806	3205624	3068206	1291549	1292220	3313801	4873490	1783457	1485260	1292370	1978709	1291561	1291546	4920528	1292001	1292720	3742360
1000194	1308817	1293544	3158990	5344178	1292401	1291832	1291999	3649049	1295124	3319755	1308575	3395373	3072086	3626416	3792799	4023638	1292343	1307914	1293839	3233635	2149806	3205624	1482072	3068206	1292000	1292220	3734112	2213597	3313801	4873490	1783457	3005875	1292223	4305436	1485260	10574622	1849031	1292370	3075287	1978709	1292722	3793023	2129039	2209573	1292001	1292215	2131459	1652587	1292052	3541415
1000203	2334904	3006772	4268598	1292213	2268359	1291875	1291828	1866479	1308817	1293544	3158990	1294639	5344178	1292401	1291832	1291999	3649049	3319755	1292064	1308575	3395373	3072086	1862151	3626416	1292343	1307914	3233635	3205624	1482072	1292000	1292220	3734112	2213597	3313801	4873490	1292223	4305436	1485260	1849031	3075287	1978709	1292722	1291561	1291546	3793023	2209573	1292001	2131459	1652587	3541415
1000205	1866479	1293544	3158990	1294639	5344178	1292401	3649049	1295124	1292063	3319755	1292064	3395373	3072086	1862151	3626416	3792799	4023638	1292343	1307914	3233635	2149806	3205624	1482072	3068206	1291549	1292000	3734112	2213597	3313801	4873490	1783457	3005875	1292223	4305436	1485260	10574622	1849031	3075287	1978709	1292722	1291546	3793023	2129039	2209573	1292001	2131459	1652587	1292052	3742360	3541415
1000218	1291550	1760622	1301753	2998270	4237879	3072124	1292528	2135981	2161696	1418834	1292328	1794171	1298624	1292402	4268598	1292213	2146991	1291875	1308817	1294639	5344178	1292401	1291999	1295124	1292063	3319755	1292064	1291560	3395373	3072086	1862151	1307914	1293839	1292220	3734112	4873490	4305436	1485260	10574622	1849031	1292370	1978709	1292722	1291561	1291546	1292215	2131459	1652587	1295644	1292052
1000223	2124703	3731581	4268598	1292213	1291875	1291828	1866479	1308817	1293544	3158990	1294639	5344178	1291832	1291999	3319755	1292064	1291560	1308575	3395373	3072086	4023638	1292343	1307914	1293839	2149806	3205624	3068206	1291549	1292000	1292220	3734112	2213597	4873490	1783457	1292223	1485260	10574622	1849031	1292370	3075287	1978709	1291546	4920528	2129039	2209573	1292001	1929463	1292720	1295644	3541415
1000226	4237879	4739952	3072124	1292528	2135981	2161696	1418834	3274505	1298624	2124703	1292402	3731581	2268359	1291875	1866479	1308817	1293544	1294639	5344178	1292401	3649049	1292063	3319755	1292064	1291560	1308575	3395373	3072086	1862151	3626416	3792799	4023638	1292343	1307914	1293839	3205624	3313801	4873490	1783457	10574622	1849031	1292370	3075287	1978709	1291561	1291546	3793023	1292001	1292720	1292052
1000227	2268359	1291875	1291828	1866479	1308817	3158990	1292401	1291832	1291999	3649049	1295124	1292063	3319755	1292064	1291560	1308575	3395373	3072086	3792799	4023638	1293839	3233635	2149806	1482072	3068206	1291549	1292000	1292220	3734112	2213597	3313801	4873490	3005875	4305436	1485260	10574622	1849031	1292370	3075287	1978709	1291546	3793023	2129039	2209573	1292001	1292215	2131459	1652587	1295644	1292052
1000232	1292365	1291543	3287562	3011091	1305164	2353023	3230459	3596502	3530403	1306029	1308807	1316510	1292286	3737102	2998270	4237879	4739952	2135981	1418834	1292328	5308265	1298624	6386345	4268598	1292213	2268359	1866479	1308817	3158990	5344178	3319755	1292064	1291560	3395373	3792799	1292343	1307914	2149806	3205624	3734112	3313801	4873490	4305436	10574622	1292370	1978709	1291546	3793023	1929463	1652587
1000233	1292402	3731581	2334904	3006772	4268598	1292213	2146991	2268359	1291875	1291828	1308817	1293544	3158990	1294639	1292401	1291832	1291999	1295124	1292063	1292064	1291560	1308575	3072086	1862151	3626416	4023638	1292343	1307914	3233635	1482072	3068206	1292000	1292220	3734112	2213597	3313801	1783457	3005875	1292223	1849031	1292370	3075287	1978709	1292722	1291561	3793023	2129039	1292001	1292215	1292052
1000238	1418834	1292328	1794171	1780330	6386345	2124703	3041806	1292402	3006772	1292213	2146991	2268359	1291875	1308817	1293544	3158990	1292401	1291832	1291999	1295124	3319755	1308575	3072086	1862151	3792799	1292343	1307914	1293839	2149806	1482072	1291549	1292220	3734112	2213597	3313801	1783457	4305436	1485260	1849031	1292370	3075287	1292722	1291561	1291546	2129039	2209573	1292001	1292215	1652587	3541415
1000252	2998270	4739952	3072124	1292528	1418834	1292328	1794171	1780330	1292402	2334904	4268598	2268359	1291875	1291828	1308817	1293544	3158990	1294639	1292401	1291832	1291999	1292063	3319755	1292064	1291560	1307914	1293839	2149806	1482072	1291549	1292000	1292220	3313801	3005875	1292223	1485260	1849031	1292370	1978709	1292722	1291561	1291546	2129039	2209573	1292215	2131459	1292720	1652587	1295644	1292052
1000255	4268598	2146991	2268359	1291875	1291828	1866479	1308817	1293544	1294639	5344178	1292401	1291832	1291999	1295124	3319755	1292064	1291560	1308575	3395373	3072086	1862151	3626416	3792799	1292343	1307914	1293839	3205624	1482072	1291549	1292000	3734112	3313801	1783457	3005875	4305436	1485260	10574622	1849031	1292370	1978709	1292722	2209573	1292001	1292215	2131459	1292720	1652587	1295644	3742360	3541415
1000269	2334904	3006772	4268598	1292213	1291875	1291828	1866479	1308817	1293544	3158990	1294639	1292401	1291999	3649049	1295124	1292063	3319755	1292064	1308575	3395373	3072086	1862151	4023638	1292343	1307914	1293839	3233635	2149806	3205624	1482072	3068206	1291549	1292000	1292220	2213597	3313801	1292223	1849031	1292370	3075287	1978709	1291561	1291546	3793023	2129039	1292215	1292720	1295644	1292052	3541415
1000270	1308817	1293544	3158990	1294639	5344178	1291832	1295124	1292063	1292064	1291560	1308575	3395373	3626416	3792799	4023638	1292343	1307914	1293839	3233635	2149806	3205624	1482072	3068206	1291549	1292000	3734112	2213597	3313801	4873490	1292223	4305436	10574622	1849031	1292370	3075287	1978709	1292722	1291561	1291546	4920528	3793023	2209573	1292001	1292215	2131459	1929463	1292720	1652587	1295644	3541415
1000276	5308265	1298624	1780330	6386345	3041806	1292402	3731581	2334904	4268598	2268359	1291828	1866479	1308817	1293544	3158990	5344178	1292401	3649049	1295124	1292063	3319755	1308575	3395373	3072086	1862151	3626416	3792799	4023638	3233635	2149806	3205624	3068206	1291549	1292000	2213597	4873490	1783457	3005875	1292223	4305436	1485260	10574622	1849031	1292370	1978709	1291546	4920528	3793023	1292215	3742360
